molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,20.0,7.698970004336019,nM,403.84500000000025,3.0916000000000015,2.0,6.0
CHEMBL380386,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O,150.0,6.823908740944319,nM,403.8450000000002,3.137900000000001,3.0,6.0
CHEMBL207037,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1,50.0,7.301029995663981,nM,415.8560000000003,3.0916000000000015,2.0,6.0
CHEMBL207246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O,70.0,7.154901959985743,nM,415.8560000000003,3.2341000000000015,2.0,6.0
CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O,50.0,7.301029995663981,nM,445.88200000000035,2.8606000000000007,2.0,7.0
CHEMBL206783,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC[C@@H]1C(N)=O,8.0,8.096910013008056,nM,443.91000000000037,4.014300000000003,2.0,6.0
CHEMBL204420,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,30.0,7.522878745280337,nM,458.92500000000035,2.7758000000000003,2.0,7.0
CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,170.0,6.769551078621726,nM,443.91000000000037,4.014300000000003,2.0,6.0
CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC[C@H](C(N)=O)C1,80.0,7.096910013008056,nM,429.8830000000003,3.481700000000002,2.0,6.0
CHEMBL382822,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(=O)N(C)C,450.0,6.346787486224656,nM,457.93700000000035,4.227100000000004,1.0,6.0
CHEMBL383760,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,50.0,7.301029995663981,nM,443.91000000000014,3.884900000000002,2.0,6.0
CHEMBL207235,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1C[C@H](OC)C[C@@H]1C(N)=O,10.0,8.0,nM,459.90900000000033,3.249100000000001,2.0,7.0
